Date,Wealthyvia-5GCPM,NIFTY Midcap
2016-10-17,100.00,100.00
2016-10-18,101.10,101.37
2016-10-19,101.15,101.46
2016-10-20,101.51,101.78
2016-10-21,101.36,102.11
2016-10-24,101.49,102.18
2016-10-25,101.41,102.12
2016-10-26,101.48,101.38
2016-10-27,99.15,100.47
2016-10-28,99.47,101.64
2016-11-01,101.68,102.19
2016-11-02,99.94,100.34
2016-11-03,100.27,99.19
2016-11-04,97.76,97.50
2016-11-07,97.80,98.23
2016-11-08,98.21,98.68
2016-11-09,94.56,96.40
2016-11-10,94.84,98.09
2016-11-11,89.47,94.68
2016-11-15,83.67,90.96
2016-11-16,86.42,91.13
2016-11-17,85.57,90.75
2016-11-18,85.41,90.95
2016-11-21,83.61,88.52
2016-11-22,84.66,89.89
2016-11-23,85.71,90.79
2016-11-24,85.06,90.22
2016-11-25,87.70,91.70
2016-11-28,87.61,92.22
2016-11-29,89.55,92.95
2016-11-30,91.07,94.09
2016-12-01,91.08,93.23
2016-12-02,89.19,91.87
2016-12-05,89.66,92.29
2016-12-06,90.01,92.69
2016-12-07,90.13,92.37
2016-12-08,91.12,93.63
2016-12-09,90.54,94.00
2016-12-12,88.52,92.98
2016-12-13,88.23,92.64
2016-12-14,87.90,92.06
2016-12-15,87.94,92.19
2016-12-16,88.73,92.00
2016-12-19,87.77,91.59
2016-12-20,87.03,90.51
2016-12-21,86.48,90.49
2016-12-22,85.20,89.43
2016-12-23,85.26,89.37
2016-12-26,82.57,87.36
2016-12-27,83.74,88.69
2016-12-28,85.32,89.40
2016-12-29,86.34,90.71
2016-12-30,88.09,91.23
2017-01-02,90.16,92.04
2017-01-03,91.44,92.63
2017-01-04,91.63,92.82
2017-01-05,92.35,93.72
2017-01-06,92.08,93.47
2017-01-09,93.06,93.79
2017-01-10,94.61,94.12
2017-01-11,94.47,95.34
2017-01-12,93.97,95.40
2017-01-13,93.74,95.28
2017-01-16,95.39,95.58
2017-01-17,95.23,95.92
2017-01-18,97.10,96.49
2017-01-19,97.17,96.96
2017-01-20,95.72,95.57
2017-01-23,96.48,95.99
2017-01-24,98.30,97.10
2017-01-25,100.10,98.24
2017-01-27,99.86,98.89
2017-01-30,101.37,98.59
2017-01-31,100.72,97.56
2017-02-01,102.73,99.35
2017-02-02,104.68,100.20
2017-02-03,104.99,101.27
2017-02-06,106.01,101.98
2017-02-07,106.33,101.74
2017-02-08,106.97,102.11
2017-02-09,106.63,102.32
2017-02-10,107.32,102.46
2017-02-13,106.36,101.83
2017-02-14,106.02,101.74
2017-02-15,104.59,100.46
2017-02-16,106.57,101.83
2017-02-17,106.50,102.12
2017-02-20,107.24,103.03
2017-02-21,108.37,103.56
2017-02-22,107.40,103.05
2017-02-23,106.99,103.45
2017-02-27,106.89,103.62
2017-02-28,107.66,104.10
2017-03-01,107.69,104.38
2017-03-02,106.30,102.91
2017-03-03,106.48,103.34
2017-03-06,105.86,103.65
2017-03-07,106.69,103.64
2017-03-08,106.66,103.12
2017-03-09,107.36,103.04
2017-03-10,108.76,102.98
2017-03-14,111.37,104.42
2017-03-15,111.59,105.28
2017-03-16,112.45,106.68
2017-03-17,112.42,106.93
2017-03-20,113.02,107.26
2017-03-21,112.90,107.27
2017-03-22,111.08,106.07
2017-03-23,111.36,106.87
2017-03-24,111.43,107.25
2017-03-27,112.01,107.33
2017-03-28,112.69,107.80
2017-03-29,112.64,108.28
2017-03-30,113.69,108.89
2017-03-31,114.24,109.72
2017-04-03,116.32,110.66
2017-04-05,119.20,111.48
2017-04-06,118.84,111.25
2017-04-07,118.14,110.76
2017-04-10,118.44,111.26
2017-04-11,119.36,112.25
2017-04-12,120.92,111.49
2017-04-13,121.22,111.19
2017-04-17,120.65,111.51
2017-04-18,118.91,111.20
2017-04-19,119.65,111.88
2017-04-20,121.18,112.89
2017-04-21,121.66,112.73
2017-04-24,123.02,113.58
2017-04-25,124.77,114.42
2017-04-26,123.52,114.08
2017-04-27,123.88,114.24
2017-04-28,123.82,115.05
2017-05-02,125.88,115.46
2017-05-03,125.32,115.13
2017-05-04,125.84,115.66
2017-05-05,125.05,114.91
2017-05-08,125.54,115.51
2017-05-09,125.07,115.80
2017-05-10,126.91,116.44
2017-05-11,129.27,116.55
2017-05-12,127.21,115.58
2017-05-15,128.34,116.80
2017-05-16,129.43,117.23
2017-05-17,129.22,116.83
2017-05-18,127.46,114.27
2017-05-19,126.83,113.41
2017-05-22,123.36,112.22
2017-05-23,124.04,110.37
2017-05-24,122.30,109.23
2017-05-25,124.23,110.92
2017-05-26,126.35,112.38
2017-05-29,125.32,110.64
2017-05-30,126.35,111.44
2017-05-31,127.04,112.68
2017-06-01,127.16,113.76
2017-06-02,128.02,114.50
2017-06-05,131.97,115.08
2017-06-06,129.82,114.68
2017-06-07,132.28,115.58
2017-06-08,133.20,115.81
2017-06-09,133.84,116.23
